Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
2.0,ritza trish,2.0,26.5,5.5,374,5.68,30.07,995179500,520,7,wentworth park,2024-02-09,poo,poo
3.0,ando prince,4.0,33.2,11.0,543,5.62,30.17,995179500,520,7,wentworth park,2024-02-09,poo,poo
1.0,boston banner,5.0,31.7,7.5,222,5.57,29.97,995179500,520,6,wentworth park,2024-02-09,poo,poo
5.0,autumn cloud,6.0,29.9,11.0,635,5.6,30.57,995179500,520,6,wentworth park,2024-02-09,poo,poo
6.0,backline pie,7.0,31.8,31.0,756,5.66,30.6,995179500,520,6,wentworth park,2024-02-09,poo,poo
4.0,hurricane reign,8.0,28.5,1.8,111,5.5,30.28,995179500,520,6,wentworth park,2024-02-09,poo,poo
3.0,potent cartier,1.0,33.1,3.7,143,5.66,31.0,995179501,520,6,wentworth park,2024-02-09,poo,poo
,ruby's wish,2.0,26.8,1.0,,,,995179501,520,7,wentworth park,2024-02-09,poo,poo
,he's a bridge,3.0,30.1,1.0,,,,995179501,520,7,wentworth park,2024-02-09,poo,poo
5.0,twinkle toes tex,4.0,32.4,5.5,535,5.63,31.97,995179501,520,6,wentworth park,2024-02-09,poo,poo
1.0,hush hush,5.0,33.8,3.0,311,5.58,30.2,995179501,520,6,wentworth park,2024-02-09,poo,poo
2.0,mr. hermes,6.0,34.5,11.0,222,5.61,30.76,995179501,520,7,wentworth park,2024-02-09,poo,poo
4.0,lightfoot rev,7.0,29.9,71.0,454,5.76,31.47,995179501,520,7,wentworth park,2024-02-09,poo,poo
,fancy chick,8.0,27.3,1.0,,,,995179501,520,6,wentworth park,2024-02-09,poo,poo
8.0,felony girl,1.0,25.7,61.0,886,5.75,32.12,995179502,520,7,wentworth park,2024-02-09,poo,poo
2.0,obsessive dreams,2.0,24.8,7.0,122,5.57,30.32,995179502,520,5,wentworth park,2024-02-09,poo,poo
7.0,tricky ethics,3.0,27.6,8.0,555,5.67,32.1,995179502,520,6,wentworth park,2024-02-09,poo,poo
3.0,dazzling gunn,4.0,27.6,3.7,333,5.6,30.46,995179502,520,5,wentworth park,2024-02-09,poo,poo
5.0,canya dior,5.0,27.1,17.0,477,5.75,31.5,995179502,520,6,wentworth park,2024-02-09,poo,poo
6.0,askey,6.0,28.7,5.0,668,5.69,31.7,995179502,520,5,wentworth park,2024-02-09,poo,poo
1.0,raven nighthawk,7.0,28.4,3.6,211,5.52,30.2,995179502,520,5,wentworth park,2024-02-09,poo,poo
4.0,zipping lucifer,8.0,30.5,10.0,744,5.63,30.51,995179502,520,5,wentworth park,2024-02-09,poo,poo
5.0,my boy aiden,1.0,32.9,8.5,643,5.71,31.22,995179503,520,5,wentworth park,2024-02-09,poo,poo
4.0,luigi wave,2.0,31.9,3.3,774,5.78,31.19,995179503,520,6,wentworth park,2024-02-09,poo,poo
6.0,tarawi lock star,3.0,33.6,10.0,568,5.75,31.3,995179503,520,5,wentworth park,2024-02-09,poo,poo
2.0,black book,4.0,30.4,31.0,122,5.65,30.93,995179503,520,5,wentworth park,2024-02-09,poo,poo
3.0,lobster roll,5.0,31.3,5.5,356,5.73,31.08,995179503,520,5,wentworth park,2024-02-09,poo,poo
8.0,gundangara boy,6.0,35.3,26.0,435,5.71,31.44,995179503,520,7,wentworth park,2024-02-09,poo,poo
1.0,ibrox cooper,7.0,29.7,4.6,211,5.64,30.74,995179503,520,5,wentworth park,2024-02-09,poo,poo
6.0,anita keroma,8.0,26.9,4.8,887,5.84,31.3,995179503,520,7,wentworth park,2024-02-09,poo,poo
,paul's legacy,,,1.0,,,,995179503,520,7,wentworth park,2024-02-09,poo,poo
7.0,eye roll sloy,1.0,27.6,7.5,434,5.56,31.04,995179504,520,5,wentworth park,2024-02-09,poo,poo
8.0,sirius cuddles,2.0,30.7,61.0,248,5.57,32.92,995179504,520,5,wentworth park,2024-02-09,poo,poo
1.0,toad's turnpike,3.0,30.5,23.0,111,5.48,30.25,995179504,520,5,wentworth park,2024-02-09,poo,poo
4.0,saint rico,4.0,35.5,19.0,565,5.63,30.91,995179504,520,5,wentworth park,2024-02-09,poo,poo
2.0,unique sunrise,5.0,31.6,11.0,882,5.73,30.28,995179504,520,5,wentworth park,2024-02-09,poo,poo
6.0,canya catch me,6.0,34.1,16.0,677,5.72,31.0,995179504,520,5,wentworth park,2024-02-09,poo,poo
3.0,you never lose,7.0,33.2,1.4,323,5.53,30.57,995179504,520,5,wentworth park,2024-02-09,poo,poo
5.0,canya dazzle,8.0,26.7,12.0,756,5.62,30.98,995179504,520,5,wentworth park,2024-02-09,poo,poo
,paul's legacy,,,1.0,,,,995179504,520,7,wentworth park,2024-02-09,poo,poo
,oceanside,,,1.0,,,,995179505,520,5,wentworth park,2024-02-09,poo,poo
3.0,go forward layla,1.0,30.5,26.0,766,5.73,30.49,995179505,520,5,wentworth park,2024-02-09,poo,poo
5.0,bolt wave,2.0,31.9,2.15,674,5.81,30.85,995179505,520,5,wentworth park,2024-02-09,poo,poo
4.0,colonial custard,4.0,32.1,6.0,442,5.59,30.83,995179505,520,5,wentworth park,2024-02-09,poo,poo
1.0,wallacia mist,5.0,25.7,3.7,111,5.46,30.13,995179505,520,5,wentworth park,2024-02-09,poo,poo
2.0,ferness,6.0,32.2,5.0,555,5.63,30.37,995179505,520,5,wentworth park,2024-02-09,poo,poo
7.0,hooked on rum,7.0,27.9,51.0,237,5.58,31.04,995179505,520,5,wentworth park,2024-02-09,poo,poo
5.0,self sink,8.0,34.7,31.0,323,5.56,30.85,995179505,520,5,wentworth park,2024-02-09,poo,poo
4.0,aussie summer,1.0,33.9,31.0,775,5.72,30.45,995179506,520,5,wentworth park,2024-02-09,poo,poo
1.0,nangar gypsy,2.0,28.5,1.6,111,5.43,29.69,995179506,520,5,wentworth park,2024-02-09,poo,poo
2.0,dinali keroma,3.0,30.8,8.5,432,5.53,30.24,995179506,520,5,wentworth park,2024-02-09,poo,poo
5.0,springview hawk,4.0,33.3,41.0,563,5.59,30.51,995179506,520,5,wentworth park,2024-02-09,poo,poo
8.0,blind ambition,5.0,34.0,8.0,226,5.49,30.99,995179506,520,4,wentworth park,2024-02-09,poo,poo
6.0,carter o'brien,6.0,32.7,8.5,888,5.75,30.64,995179506,520,4,wentworth park,2024-02-09,poo,poo
6.0,big thunder,7.0,36.0,13.0,647,5.57,30.64,995179506,520,4,wentworth park,2024-02-09,poo,poo
3.0,acey deucey,8.0,30.9,14.0,354,5.59,30.28,995179506,520,5,wentworth park,2024-02-09,poo,poo
4.0,anjo typhoon,1.0,30.2,15.0,455,5.44,16.57,995179507,280,4,wentworth park,2024-02-09,poo,poo
2.0,okey,2.0,31.7,2.3,111,5.26,16.28,995179507,280,2,wentworth park,2024-02-09,poo,poo
3.0,fascinate donald,3.0,28.7,4.6,233,5.35,16.52,995179507,280,2,wentworth park,2024-02-09,poo,poo
1.0,spark ricciardo,4.0,35.8,14.0,322,5.3,16.26,995179507,280,3,wentworth park,2024-02-09,poo,poo
7.0,anomaly,5.0,32.6,31.0,887,5.6,16.96,995179507,280,3,wentworth park,2024-02-09,poo,poo
5.0,light one up,6.0,31.8,5.5,544,5.41,16.58,995179507,280,3,wentworth park,2024-02-09,poo,poo
6.0,sassy ms. minx,7.0,27.5,8.5,666,5.46,16.88,995179507,280,3,wentworth park,2024-02-09,poo,poo
8.0,towering larry,8.0,34.5,11.0,778,5.51,17.02,995179507,280,3,wentworth park,2024-02-09,poo,poo
2.0,simple simon,1.0,30.5,5.0,542,5.39,16.39,995179508,280,4,wentworth park,2024-02-09,poo,poo
8.0,funky girl,2.0,24.5,3.3,464,5.43,17.14,995179508,280,4,wentworth park,2024-02-09,poo,poo
1.0,twelve men,3.0,26.3,7.0,111,5.28,16.3,995179508,280,4,wentworth park,2024-02-09,poo,poo
7.0,lady luck ethics,4.0,29.8,11.0,327,5.36,16.98,995179508,280,4,wentworth park,2024-02-09,poo,poo
6.0,unacceptable bro,5.0,32.5,10.0,778,5.48,16.91,995179508,280,4,wentworth park,2024-02-09,poo,poo
3.0,double threat,6.0,32.9,15.0,886,5.63,16.55,995179508,280,4,wentworth park,2024-02-09,poo,poo
5.0,zora ville,7.0,24.4,4.6,233,5.36,16.79,995179508,280,4,wentworth park,2024-02-09,poo,poo
4.0,pick up gus,8.0,30.5,9.0,655,5.43,16.78,995179508,280,4,wentworth park,2024-02-09,poo,poo
,moonshine bonnie,,,1.0,,,,995179509,280,5,wentworth park,2024-02-09,poo,poo
1.0,king kainane,1.0,37.8,2.4,22,5.38,16.37,995179509,280,5,wentworth park,2024-02-09,poo,poo
3.0,magical ethics,2.0,25.3,3.5,33,5.42,16.65,995179509,280,5,wentworth park,2024-02-09,poo,poo
6.0,sirius lulu,3.0,28.9,26.0,46,5.48,17.54,995179509,280,5,wentworth park,2024-02-09,poo,poo
4.0,aston roja,4.0,27.0,26.0,64,5.7,16.85,995179509,280,5,wentworth park,2024-02-09,poo,poo
7.0,black ghost,5.0,35.1,26.0,57,5.5,17.66,995179509,280,5,wentworth park,2024-02-09,poo,poo
1.0,corless insane,6.0,27.5,2.8,11,5.35,16.37,995179509,280,4,wentworth park,2024-02-09,poo,poo
5.0,anjo cyclone,8.0,28.4,26.0,75,5.56,17.01,995179509,280,5,wentworth park,2024-02-09,poo,poo
6.0,star aura,1.0,25.5,6.0,8,6.34,17.53,995177459,288,6,ipswich,2024-02-08,poo,poo
5.0,here's yours,2.0,25.9,11.0,5,6.12,17.43,995177459,288,5,ipswich,2024-02-08,poo,poo
2.0,velocity kensie,3.0,25.4,14.0,3,6.05,17.25,995177459,288,4,ipswich,2024-02-08,poo,poo
3.0,noaki cruise,4.0,25.0,5.0,4,6.1,17.35,995177459,288,4,ipswich,2024-02-08,poo,poo
8.0,bronze bomber,5.0,33.4,4.2,6,6.14,17.83,995177459,288,5,ipswich,2024-02-08,poo,poo
4.0,goes like gary,6.0,31.9,9.5,7,6.24,17.41,995177459,288,6,ipswich,2024-02-08,poo,poo
1.0,isa belle,7.0,25.7,6.0,1,5.98,17.19,995177459,288,4,ipswich,2024-02-08,poo,poo
7.0,champagne talks,8.0,26.8,5.0,2,6.02,17.68,995177459,288,5,ipswich,2024-02-08,poo,poo
,beautiful day,,,1.0,,,,995177459,288,6,ipswich,2024-02-08,poo,poo
,mini missile,,,1.0,,,,995177459,288,6,ipswich,2024-02-08,poo,poo
7.0,lady mcbeth,1.0,26.1,8.0,8,6.3,17.7,995177460,288,5,ipswich,2024-02-08,poo,poo
4.0,break and enter,2.0,30.3,21.0,6,6.22,17.39,995177460,288,5,ipswich,2024-02-08,poo,poo
8.0,one more rosie,3.0,27.6,23.0,7,6.24,17.82,995177460,288,5,ipswich,2024-02-08,poo,poo
3.0,shining force,4.0,24.4,3.4,1,6.03,17.36,995177460,288,5,ipswich,2024-02-08,poo,poo
1.0,jungcelyon,5.0,34.1,3.0,3,6.1,17.3,995177460,288,5,ipswich,2024-02-08,poo,poo
2.0,it's time lionel,6.0,34.7,17.0,2,6.09,17.32,995177460,288,6,ipswich,2024-02-08,poo,poo
6.0,farmor admission,7.0,26.2,12.0,4,6.15,17.5,995177460,288,5,ipswich,2024-02-08,poo,poo
5.0,mr. singha,8.0,31.6,4.0,5,6.18,17.41,995177460,288,5,ipswich,2024-02-08,poo,poo
,making sense,,,1.0,,,,995177460,288,5,ipswich,2024-02-08,poo,poo
,molly jones,,,1.0,,,,995177460,288,6,ipswich,2024-02-08,poo,poo
6.0,total media ban,1.0,29.9,4.6,55,5.72,31.19,995179404,520,7,albion park,2024-02-08,poo,poo
7.0,daysea's katie,2.0,24.2,51.0,12,5.59,31.22,995179404,520,7,albion park,2024-02-08,poo,poo
5.0,ferocious lilly,3.0,27.5,15.0,67,5.75,31.03,995179404,520,7,albion park,2024-02-08,poo,poo
2.0,duffman,4.0,32.4,1.45,44,5.71,30.78,995179404,520,5,albion park,2024-02-08,poo,poo
4.0,howdy hope,6.0,26.3,8.5,76,5.81,30.96,995179404,520,7,albion park,2024-02-08,poo,poo
